"bandwidth","cpu_delay","distance_delay","ratio","batch_size"
"2000000","200","1024","0.053295362082994305","1"
"1750000","400","2048","0.05298446443172527","1"
"250000","100","512","0.052422299764667696","1"
"750000","200","1024","0.052224843406816886","1"
"1750000","50","256","0.05187588724396674","1"
"250000","50","256","0.05185592857579649","1"
"500000","50","256","0.051330451196492724","1"
"1500000","100","512","0.05126541207008436","1"
"1250000","200","1024","0.05119426102551561","1"
"1750000","200","1024","0.050788233382090035","1"
"500000","100","512","0.050691431120483396","1"
"2000000","100","512","0.05060103963612735","1"
"2250000","50","256","0.05057522482378676","1"
"750000","100","512","0.05037343724630622","1"
"1250000","50","256","0.05028102996976645","1"
"1750000","100","512","0.05016030193579806","1"
"2500000","100","512","0.04998177325934627","1"
"750000","50","256","0.04981448816981936","1"
"2500000","400","2048","0.04944516971279373","1"
"1500000","50","256","0.04929292110701406","1"
"750000","400","2048","0.0489041543997383","1"
"2250000","100","512","0.04883777435814368","1"
"2500000","50","256","0.048225253897143786","1"
"2000000","50","256","0.047973464930021845","1"
"500000","400","2048","0.04747919725893294","1"
"1500000","450","2048","0.04659562940220336","1"
"2250000","450","2048","0.0461510726518839","1"
"1000000","50","256","0.04608294930875576","1"
"2000000","450","2048","0.045987376014427414","1"
"1500000","400","2048","0.045291625936787226","1"
"1500000","250","1024","0.04461296040969076","1"
"1750000","450","2048","0.04448046101206555","1"
"1750000","250","1024","0.04302131421274924","1"
"2000000","250","1024","0.042726647677045475","1"
"250000","450","2048","0.04256854256854257","1"
"1250000","450","2048","0.04253785147801009","1"
"500000","250","1024","0.04230882497300481","1"
"500000","450","2048","0.04229661627069834","1"
"2500000","450","2048","0.0420805490337728","1"
"1500000","500","2048","0.04201347602061038","1"
"2250000","250","1024","0.041969726754472185","1"
"750000","450","2048","0.04193664506839453","1"
"1000000","450","2048","0.041801801801801805","1"
"1250000","250","1024","0.04163802415791024","1"
"750000","250","1024","0.04106090373280943","1"
"2500000","250","1024","0.04104074619538537","1"
"250000","250","1024","0.04078223270440252","1"
"1750000","500","2048","0.040134440490312374","1"
"1000000","250","1024","0.03979221797510536","1"
"1250000","500","2048","0.039541320680110716","1"
"2500000","500","2048","0.03868930122384524","1"
"2000000","500","2048","0.038149831982605256","1"
"500000","500","2048","0.03813475597707963","1"
"2250000","500","2048","0.037366548042704624","1"
"1000000","500","2048","0.036722606120434355","1"
"750000","500","2048","0.03648195622165253","1"
"1500000","150","512","0.03558493820063237","1"
"1250000","300","1024","0.035023041474654376","1"
"500000","150","512","0.034680753330271014","1"
"2250000","150","512","0.0345263399781697","1"
